icpsr,bioname,chamber,party_code,wing,nominate_dim1,nominate_dim2,state_abbrev,born,died,gen,region,total_vote,iso_num,oppo_per,first_cong,last_cong,congress_num,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
10811,"MECHEM, Edwin Leard",Senate,Republican,Right,0.585,-0.21,NM,1912,2002,greatest,Southwest,64,46,0.71875,88,88,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.71875,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1486,"CANNON, Raymond Joseph",House,Democrat,Left,-0.266,-0.67,WI,1894,1951,lost,Midwest,14,10,0.714285714,73,75,2,0.5,0.875,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4422,"HILL, Robert Potter",House,Democrat,Center,-0.234,0.446,OK,1874,1937,missionary,Southwest,7,5,0.714285714,63,75,1,X,0.714285714,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9439,"TOWNSEND, John Gillis, Jr.",Senate,Republican,Center,0.491,-0.311,DE,1871,1964,missionary,South,73,52,0.712328767,71,76,3,0.642857143,0.5,0.764705882,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10820,"SIMPSON, Milward Lee",Senate,Republican,Right,0.77,-0.562,WY,1897,1993,lost,Rockies,127,90,0.708661417,88,89,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.789473684,0.642857143,X,X,X,X,X,X,X,X,X,X,X,X,X
4911,"JENISON, Edward Halsey",House,Republican,Right,0.526,-0.272,IL,1907,1996,greatest,Midwest,41,29,0.707317073,80,82,3,X,X,X,X,X,X,0.6875,0.769230769,0.666666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9998,"WHERRY, Kenneth Spicer",Senate,Republican,Right,0.544,0.221,NE,1892,1951,lost,Midwest,92,65,0.706521739,78,82,5,X,X,X,X,0.705882353,0.944444444,0.5,0.714285714,0.666666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
13000,"ABOUREZK, James George",House,Democrat,Left,-0.743,0.423,SD,1931,NA,silent,Midwest,293,207,0.706484642,92,95,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.592592593,X,X,X,X,X,X,X,X,X,X
13000,"ABOUREZK, James George",Senate,Democrat,Left,-0.743,0.423,SD,1931,NA,silent,Midwest,293,207,0.706484642,92,95,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.754237288,0.666666667,0.782608696,X,X,X,X,X,X,X
5352,"KNUTSON, Harold",House,Republican,Right,0.415,0.396,MN,1880,1953,missionary,Midwest,136,96,0.705882353,65,80,7,0.833333333,0.9,0.8,0.515151515,0.529411765,0.727272727,0.916666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4487,"HOFFMAN, Clare Eugene",House,Republican,Right,0.691,0.232,MI,1875,1967,missionary,Midwest,271,191,0.704797048,74,87,14,0.818181818,0.8,0.774193548,0.512820513,0.625,0.75,0.733333333,0.909090909,0.666666667,0.666666667,0.692307692,0.62962963,0.7,0.833333333,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9584,"VAIL, Richard Bernard",House,Republican,Center,0.478,-0.196,IL,1895,1955,lost,Midwest,27,19,0.703703704,80,82,2,X,X,X,X,X,X,0.733333333,X,0.666666667,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
